Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
20MICRONS,3,2,1,125.00007629394531
21STCENMGM,3,1,2,-87.5
360ONE,0,0,0,0.0
3IINFOLTD,3,1,2,-985.0
3MINDIA,6,3,2,61169.98779296875
3PLAND,5,2,3,34.50000762939453
5PAISA,2,1,0,822.9286193847656
63MOONS,8,2,6,485.99998474121094
A2ZINFRA,5,2,3,176.50001049041748
AAATECH,0,0,0,0.0
AAKASH,2,2,0,65.66665887832642
AAREYDRUGS,0,0,0,0.0
AARON,0,0,0,0.0
AARTIDRUGS,3,3,0,1077.5
AARTIIND,3,1,2,-1059.1627502441406
AARTISURF,1,0,1,-1340.6671142578125
AARVEEDEN,2,1,0,78.0000114440918
AARVI,2,1,1,-83.5000228881836
AAVAS,2,1,0,7971.500244140625
ABAN,7,1,5,-3629.000244140625
ABB,6,4,2,7129.392395019531
ABBOTINDIA,0,0,0,0.0
ABCAPITAL,3,1,2,-94.49996948242188
ABFRL,3,2,1,366.0295104980469
ABMINTLLTD,5,3,2,330.0
ABSLAMC,1,0,1,-600.0
ACC,4,2,1,6847.998046875
ACCELYA,1,1,0,2191.99951171875
ACCURACY,2,1,1,-16.800001859664917
ACE,4,2,2,-162.99996376037598
ACEINTEG,3,2,1,53.333330154418945
ACL,5,1,4,20.0
ACLGATI,6,3,3,542.5000381469727
ADANIENT,8,4,4,994.3820762634277
ADANIGREEN,1,0,0,0.0
ADANIPORTS,5,2,3,1542.9997253417969
ADANIPOWER,5,2,3,126.50003433227539
ADFFOODS,2,0,2,-181.8000030517578
ADL,0,0,0,0.0
ADORWELD,3,1,2,-772.5
ADROITINFO,2,1,1,114.66039657592773
ADSL,3,2,1,115.50000190734863
ADVANIHOTR,3,3,0,252.5
ADVENZYMES,2,0,2,-897.5
AEGISCHEM,2,0,2,-111.5999984741211
AETHER,0,0,0,0.0
AFFLE,1,0,0,0.0
AGARIND,1,0,0,0.0
AGI,4,0,3,-279.5853805541992
AGRITECH,2,0,2,-337.00000762939453
AGROPHOS,2,1,1,-16.49998664855957
AGSTRA,0,0,0,0.0
AHLADA,2,1,1,326.9999694824219
AHLEAST,3,1,2,-308.3551025390625
AHLUCONT,1,0,0,0.0
AIAENG,1,1,0,4775.9991455078125
AIRAN,0,0,0,0.0
AIROLAM,2,1,1,-17.99999237060547
AJANTPHARM,2,0,2,-3242.332763671875
AJMERA,2,1,1,23.99993896484375
AJOONI,2,1,1,11.427940130233765
AKASH,1,0,0,0.0
AKG,2,2,0,176.6960906982422
AKSHAR,0,0,0,0.0
AKSHARCHEM,1,0,1,-620.4998779296875
AKSHOPTFBR,3,1,2,-95.00001430511475
AKZOINDIA,5,4,1,12458.499755859375
ALANKIT,4,1,3,-27.500009536743164
ALBERTDAVD,1,1,0,1522.0001220703125
ALEMBICLTD,2,0,2,-135.00000953674316
ALICON,5,2,3,495.9994888305664
ALKALI,2,0,2,-351.5000534057617
ALKEM,2,0,1,-924.000244140625
ALKYLAMINE,2,0,1,-3920.0
ALLCARGO,3,2,1,146.8749713897705
ALLSEC,4,3,1,-145.50020217895508
ALMONDZ,4,1,3,-56.00000858306885
ALOKINDS,6,1,5,-141.75771713256836
ALPA,2,1,1,-38.999996185302734
ALPHAGEO,4,1,3,1977.0002746582031
ALPSINDUS,5,1,3,-3.9999985694885254
AMBER,1,1,0,3891.99951171875
AMBICAAGAR,1,1,0,97.00000762939453
AMBIKCO,1,0,1,-2750.50048828125
AMBUJACEM,5,3,2,2943.00048828125
AMDIND,2,0,2,-119.50000762939453
AMIORG,0,0,0,0.0
AMJLAND,3,2,1,214.0000343322754
AMRUTANJAN,1,0,1,-221.49993896484375
ANANDRATHI,0,0,0,0.0
ANANTRAJ,8,3,4,35.54825782775879
ANDHRAPAP,5,3,2,2595.0001525878906
ANDHRSUGAR,3,1,2,82.39995956420898
ANGELONE,0,0,0,0.0
ANIKINDS,3,2,1,40.499982833862305
ANKITMETAL,3,1,2,16.49999499320984
ANMOL,1,0,1,-61.70000076293945
ANTGRAPHIC,5,1,4,-1.4999999105930328
ANUP,2,1,0,1221.0000610351562
ANURAS,0,0,0,0.0
APARINDS,3,1,2,-430.0004577636719
APCL,1,1,0,779.0187072753906
APCOTEXIND,2,1,1,-96.59988403320312
APEX,2,1,0,1033.9999389648438
APLAPOLLO,1,1,0,886.7498779296875
APLLTD,1,0,1,-880.4998779296875
APOLLO,0,0,0,0.0
APOLLOHOSP,2,0,1,-1013.00048828125
APOLLOPIPE,0,0,0,0.0
APOLLOTYRE,6,4,2,1284.000015258789
APOLSINHOT,1,1,0,5745.999755859375
APTECHT,4,1,3,-363.2141876220703
APTUS,1,0,0,0.0
ARCHIDPLY,1,1,0,41.12438201904297
ARCHIES,5,1,4,-75.5000114440918
ARENTERP,2,2,0,117.5
ARIES,2,1,1,259.00001525878906
ARIHANTCAP,0,0,0,0.0
ARIHANTSUP,5,1,3,-142.99999237060547
ARMANFIN,2,2,0,4497.500305175781
AROGRANITE,1,1,0,130.49999237060547
ARROWGREEN,2,0,2,-1156.969985961914
ARSHIYA,3,2,1,257.5
ARTEMISMED,0,0,0,0.0
ARTNIRMAN,2,2,0,386.4999008178711
ARVEE,3,2,1,605.4999923706055
ARVIND,3,1,2,-60.499916076660156
ARVINDFASN,1,1,0,1122.8384399414062
ARVSMART,1,0,1,-170.50003051757812
ASAHIINDIA,3,2,1,666.4997100830078
ASAHISONG,1,0,1,-325.0
ASAL,5,1,4,-309.1674995422363
ASALCBR,0,0,0,0.0
ASHAPURMIN,2,1,1,336.50001525878906
ASHIANA,4,2,2,-227.1999740600586
ASHIMASYN,7,2,4,-26.312663555145264
ASHOKA,4,0,4,-788.1667327880859
ASHOKLEY,6,2,3,72.49992370605469
ASIANENE,0,0,0,0.0
ASIANHOTNR,2,1,1,-730.9999847412109
ASIANPAINT,2,1,0,2392.000732421875
ASIANTILES,5,0,4,-1648.6007499694824
ASMS,4,3,0,101.99999928474426
ASPINWALL,3,1,2,468.50013732910156
ASTEC,4,2,2,368.9999008178711
ASTERDM,1,1,0,824.4998931884766
ASTRAL,4,2,1,2413.5755920410156
ASTRAMICRO,4,0,4,-932.5000762939453
ASTRAZEN,4,2,2,-2490.9991455078125
ASTRON,2,1,1,-330.49999237060547
ATALREAL,0,0,0,0.0
ATFL,5,2,3,-1371.4996337890625
ATGL,1,1,0,648.9999389648438
ATLANTAA,4,1,3,-142.50003814697266
ATUL,2,1,0,8802.001953125
ATULAUTO,2,0,2,-869.5002746582031
AUBANK,1,0,0,0.0
AURIONPRO,5,2,3,203.57009887695312
AUROPHARMA,4,1,3,-3135.499725341797
AURUM,4,1,2,-1013.2460403442383
