Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
20MICRONS,3,2,1,481.00006103515625
21STCENMGM,3,0,3,-125.0
360ONE,0,0,0,0.0
3IINFOLTD,3,1,2,-795.0
3MINDIA,0,0,0,0.0
3PLAND,5,2,3,91.00000381469727
5PAISA,2,0,1,-411.4643096923828
63MOONS,8,1,7,-5817.499694824219
A2ZINFRA,5,2,3,301.5000009536743
AAATECH,0,0,0,0.0
AAKASH,2,2,0,58.5166597366333
AAREYDRUGS,0,0,0,0.0
AARON,0,0,0,0.0
AARTIDRUGS,3,1,2,-378.3124542236328
AARTIIND,3,1,2,-941.6750526428223
AARTISURF,1,0,1,-1340.6671142578125
AARVEEDEN,2,1,0,119.0000057220459
AARVI,2,1,1,45.49997329711914
AAVAS,2,1,0,13395.0
ABAN,7,1,5,-2316.0003662109375
ABB,5,2,3,9652.202453613281
ABBOTINDIA,0,0,0,0.0
ABCAPITAL,3,1,2,96.50005340576172
ABFRL,2,1,1,1039.594497680664
ABMINTLLTD,4,2,2,446.875
ABSLAMC,1,0,1,-600.0
ACC,4,1,2,8566.500244140625
ACCELYA,1,1,0,8105.999755859375
ACCURACY,2,1,1,-13.250001668930054
ACE,4,2,2,144.0000343322754
ACEINTEG,2,1,1,71.99999809265137
ACL,5,1,4,-110.0
ACLGATI,5,1,3,-35.99998474121094
ADANIENT,8,3,5,1487.5169944763184
ADANIGREEN,1,0,0,0.0
ADANIPORTS,2,1,1,2132.5
ADANIPOWER,5,2,3,270.0
ADFFOODS,2,0,2,-181.8000030517578
ADL,0,0,0,0.0
ADORWELD,3,1,2,-14.499969482421875
ADROITINFO,2,0,2,-82.20270156860352
ADSL,3,2,1,204.50000762939453
ADVANIHOTR,3,1,2,159.50000762939453
ADVENZYMES,2,0,2,-897.5
AEGISCHEM,2,0,2,-111.5999984741211
AETHER,0,0,0,0.0
AFFLE,1,0,0,0.0
AGARIND,1,0,0,0.0
AGI,4,0,3,-279.5853805541992
AGRITECH,2,0,2,-337.00000762939453
AGROPHOS,2,1,1,25.000009536743164
AGSTRA,0,0,0,0.0
AHLADA,2,1,1,491.9999694824219
AHLEAST,2,1,1,275.92254638671875
AHLUCONT,1,0,0,0.0
AIAENG,1,1,0,9415.999755859375
AIRAN,0,0,0,0.0
AIROLAM,2,1,1,98.0000114440918
AJANTPHARM,2,0,2,-3242.332763671875
AJMERA,2,1,1,611.9999694824219
AJOONI,2,1,1,11.427940130233765
AKASH,1,0,0,0.0
