ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2021-11-01,97.94999694824219,2023-09-01,40.45000076293945,-16110.899299621582,-17304.940455074135,3IINFOLTD,22,100
,2022-04-01,57.75,2024-05-01,34.849998474121094,-11080.651187896729,-19473.903147185498,3IINFOLTD,30,100
,2015-04-01,200.4499969482422,2020-05-01,37.04999923706055,-24316.799545288086,-12131.104971563995,ACLGATI,50,100
,2015-02-01,109.03221130371094,2016-10-01,36.45389175415039,-19504.990577697754,-18127.467874730522,ADANIENT,22,100
,2015-10-01,50.348873138427734,2017-02-01,53.67277145385742,2107.4059104919434,4181.082006054822,ADANIENT,30,100
,2019-05-01,17.899999618530273,2020-04-01,12.800000190734863,-8961.249041557312,-49373.273993947136,ADSL,50,100
,2016-05-01,160.39999389648438,2020-05-01,81.5999984741211,-15829.550285339355,-9478.77262595171,AJMERA,22,100
,2016-09-01,137.0,2020-10-01,83.55000305175781,-12360.599334716797,-8879.741096052434,AJMERA,30,100
,2014-12-01,40.96875,2019-10-01,25.962499618530273,-11066.92472076416,-26939.114380144936,ALLCARGO,22,100
,2015-02-01,42.54999923706055,2020-04-01,18.799999237060547,-16796.625537872314,-39405.57310937787,ALLCARGO,30,100
,2015-05-01,40.75,2021-04-01,31.225000381469727,-7603.800842285156,-18554.340584356924,ALLCARGO,50,100
,2016-02-01,501.95001220703125,2021-06-01,302.25,-11357.5,-2271.5,ALPHAGEO,50,100
,2014-11-01,414.8500061035156,2020-11-01,349.0,-4536.0,-1093.012048192771,APARINDS,22,100
,2014-12-01,408.8500061035156,2021-05-01,533.75,9417.0,2319.458128078818,APARINDS,30,100
,2013-07-01,29.102102279663086,2021-05-01,80.0999984741211,53031.711654663086,181535.26292683222,ARVIND,50,100
,2017-03-01,73.4000015258789,2020-01-01,31.649999618530273,-17013.600311279297,-23179.2914953561,ASAL,22,100
,2017-09-01,94.19999694824219,2019-12-01,31.0,-19970.39915084839,-21199.999785372653,ASAL,22,150
,2017-01-01,66.75,2017-05-01,65.3499984741211,-1661.2986297607422,-2400.72066911116,ASAL,30,100
,2017-06-01,71.19999694824219,2020-06-01,21.0,-21218.40064239502,-29717.64732344497,ASAL,30,100
,2017-12-01,99.9000015258789,2020-05-01,14.0,-25995.000457763672,-25827.12375923799,ASAL,30,150
,2018-05-01,68.0,2021-08-01,54.25,-5534.551345825195,-8073.743398153319,ASAL,50,150
,2016-02-01,73.55000305175781,2019-06-01,17.0,-22690.251552581787,-30850.1028023268,ASHAPURMIN,22,100
,2016-03-01,76.44999694824219,2019-09-01,29.200000762939453,-18130.001495361328,-23606.771842369562,ASHAPURMIN,30,100
,2016-07-01,71.4000015258789,2020-05-01,30.149999618530273,-17052.000160217285,-23765.853881835938,ASHAPURMIN,50,100
,2021-10-01,106.94999694824219,2022-02-01,101.19999694824219,-1904.0008544921875,-1762.9637541594327,ASHAPURMIN,50,100
,2015-03-01,6.142910957336426,2020-05-01,4.599999904632568,-8057.227544784546,-124917.15201360268,ASHIMASYN,22,100
,2022-02-01,14.699999809265137,2023-08-01,12.899999618530273,-3875.999221801758,-26367.34198703042,ASHIMASYN,22,100
,2015-06-01,10.212590217590332,2020-10-01,7.199999809265137,-8611.96229839325,-86272.92012670524,ASHIMASYN,30,100
,2015-11-01,12.699999809265137,2022-04-01,14.100000381469727,1535.3013515472412,11675.295787718327,ASHIMASYN,50,100
,2014-08-01,36.45000076293945,2020-10-01,78.94999694824219,35635.90251159668,97632.60962081281,ASHOKLEY,22,100
,2018-07-01,228.75,2020-03-01,68.75,-20396.70059967041,-9063.186102236801,ASIANHOTNR,22,100
,2018-10-01,151.75,2020-09-01,55.0,-18715.0,-12394.039735099337,ASIANHOTNR,30,100
,2019-07-01,110.0,2022-03-01,80.5,-7357.600830078125,-6873.050556122623,ASIANHOTNR,50,100
,2014-08-01,131.89999389648438,2019-11-01,89.19999694824219,-10158.25,-7649.284462772865,ASTRAMICRO,22,100
,2014-10-01,127.55000305175781,2020-04-01,64.6500015258789,-14957.750358581543,-11658.417773027957,ASTRAMICRO,30,100
,2015-03-01,147.5,2021-07-01,171.1999969482422,4922.75,3360.238907849829,ASTRAMICRO,50,100
,2015-10-01,1178.1500244140625,2017-04-01,972.7999877929688,-5181.251525878906,-439.07048951222566,ASTRAZEN,22,100
,2016-06-01,1072.5999755859375,2016-09-01,928.7999877929688,-4156.648681640625,-382.766137348695,ASTRAZEN,30,100
,2015-05-01,59.349998474121094,2016-11-01,63.04999923706055,2323.0011558532715,3933.956284279384,ATLANTAA,22,100
,2017-04-01,104.69999694824219,2019-05-01,13.899999618530273,-26025.999181747437,-24857.688577214794,ATLANTAA,22,100
,2015-06-01,51.150001525878906,2019-10-01,7.150000095367432,-25989.10078239441,-50562.45138302068,ATLANTAA,30,100
,2015-03-01,66.4000015258789,2016-03-01,30.850000381469727,-16484.048795700073,-24529.835631385784,ATLANTAA,50,100
,2017-05-01,113.0999984741211,2019-09-01,8.649999618530273,-27838.249292373657,-24537.902195866907,ATLANTAA,50,100
,2019-10-01,7.150000095367432,2020-09-01,6.699999809265137,-419.50160026550293,-5950.377147745521,ATLANTAA,50,100
,2015-09-01,164.96368408203125,2016-11-01,84.27630615234375,-13664.414596557617,-8416.85300061093,AURIONPRO,22,100
,2018-08-01,190.14999389648438,2020-02-01,39.95000076293945,-23463.650119781494,-12268.57522602954,AURIONPRO,22,100
,2016-03-01,107.49873352050781,2017-05-01,98.08309173583984,-1060.2093658447266,-992.4900476926553,AURIONPRO,30,100
,2018-11-01,146.3000030517578,2020-05-01,44.0,-20920.249843597412,-14328.938249039322,AURIONPRO,30,100
,2017-11-01,155.88583374023438,2020-01-01,58.54999923706055,-19566.56396484375,-12262.887588457388,AURIONPRO,50,100
,2015-12-01,140.25,2020-03-01,37.75,-21608.849349975586,-15385.439529727262,BALAJITELE,22,100
,2016-02-01,91.3499984741211,2020-08-01,80.8499984741211,-3444.0,-3770.115005503437,BALAJITELE,30,100
,2016-06-01,106.44999694824219,2021-11-01,56.5,-13923.549785614014,-13012.663351041136,BALAJITELE,50,100
,2018-02-01,138.0500030517578,2022-06-01,40.95000076293945,-21222.599006652832,-15356.439562441517,BALAJITELE,50,150
,2014-05-01,1010.0,2020-08-01,1300.449951171875,8454.951416015625,837.1239025758043,BANARISUG,22,100
,2014-09-01,1215.1500244140625,2021-03-01,1584.3499755859375,8714.3994140625,719.6035849762593,BANARISUG,30,100
,2015-09-01,37.5,2019-07-01,29.25,-8200.0,-21409.922097505856,BANSWRAS,22,100
,2016-02-01,42.5,2020-03-01,36.42499923706055,-4935.0,-11611.764705882353,BANSWRAS,30,100
,2016-12-01,72.19999694824219,2021-10-01,98.17500305175781,14307.124366760254,19605.5151297248,BANSWRAS,50,100
,2022-01-01,144.47500610351562,2022-02-01,100.125,-9620.326263427734,-6562.295950134363,BANSWRAS,50,100
,2022-04-01,80.75,2023-11-01,50.45000076293945,-10907.400566101074,-13566.418357082037,BASML,22,150
,2014-06-01,46.99187469482422,2020-06-01,33.63459777832031,-9230.393211364746,-19189.08961485215,BASML,30,100
,2023-01-01,48.79999923706055,2024-04-01,52.349998474121094,1995.5,4064.1549124523067,BASML,30,150
,2013-07-01,19.219999313354492,2014-07-01,12.609999656677246,-9983.999404907227,-52547.365288985406,BBOX,22,100
,2014-06-01,15.149999618530273,2015-02-01,20.739999771118164,9206.999244689941,60772.27377239451,BBOX,30,100
,2015-07-01,27.639999389648438,2016-12-01,17.93000030517578,-10557.049503326416,-38194.8253851271,BBOX,50,100
,2019-02-01,21.0,2019-09-01,23.040000915527344,2227.6792373657227,10782.571412481224,BBOX,50,100
,2019-06-01,22.0,2019-07-01,17.219999313354492,-7264.7898960113525,-32533.76587923263,BBOX,50,150
,2019-08-01,21.93000030517578,2019-09-01,23.040000915527344,396.42864418029785,1807.7001307051294,BBOX,50,150
,2015-01-01,33.71666717529297,2021-02-01,45.70000076293945,11019.111320495605,32563.94199263652,BEL,30,100
,2015-08-01,1092.239501953125,2020-06-01,537.8662109375,-14098.304443359375,-1328.5715567527325,BEML,22,100
,2020-07-01,539.5084838867188,2020-10-01,518.4957885742188,-1111.6921997070312,-206.89620898942698,BEML,22,150
,2020-12-01,816.0424194335938,2021-01-01,767.0689086914062,-1685.7333984375,-205.94721620610935,BEML,22,150
,2016-01-01,883.7968139648438,2020-09-01,514.1163940429688,-12117.465454101562,-1370.2856891227373,BEML,30,100
,2017-01-01,1013.831298828125,2022-02-01,1315.2520751953125,8687.470031738281,855.3318559754543,BEML,50,100
,2013-08-01,12.566665649414062,2015-01-01,11.5,-2943.964997291565,-23426.77906313861,BEPL,50,100
,2016-11-01,449.75,2017-01-01,359.54998779296875,-6032.399597167969,-1333.4216796095423,BFUTILITIE,22,100
,2016-08-01,613.5,2017-04-01,457.1000061035156,-7571.99853515625,-1231.5196935545641,BFUTILITIE,30,100
,2018-03-01,382.3500061035156,2018-07-01,331.8500061035156,-4344.6009521484375,-1126.4197082307576,BFUTILITIE,50,100
,2016-10-01,19.100000381469727,2020-10-01,16.899999618530273,-3689.5005989074707,-19166.236877441406,BHAGYANGR,22,100
,2017-11-01,39.849998474121094,2020-10-01,16.899999618530273,-18123.200286865234,-44202.927528939596,BHAGYANGR,22,150
,2015-06-01,378.5731201171875,2017-05-01,334.8621520996094,-3823.4042358398438,-1001.2510312376602,BHARTIARTL,22,100
