Action,Date,Price,Size,Value,Commission
BUY,2020-04-07,25.0,10,250.0,0.0
BUY,2020-04-15,26.600000381469727,10,266.00000381469727,0.0
BUY,2020-04-21,33.0,10,330.0,0.0
BUY,2020-04-22,31.5,10,315.0,0.0
BUY,2020-04-09,27.799999237060547,10,277.99999237060547,0.0
BUY,2020-04-17,28.799999237060547,10,287.99999237060547,0.0
BUY,2020-04-22,31.5,10,315.0,0.0
BUY,2020-04-27,29.149999618530273,10,291.49999618530273,0.0
BUY,2020-02-13,35.20000076293945,10,352.00000762939453,0.0
BUY,2020-04-21,33.0,10,330.0,0.0
BUY,2020-04-24,29.700000762939453,10,297.00000762939453,0.0
BUY,2020-04-29,29.700000762939453,10,297.00000762939453,0.0
BUY,2020-04-23,31.0,10,310.0,0.0
BUY,2020-04-29,29.700000762939453,10,297.00000762939453,0.0
BUY,2020-05-05,29.0,10,290.0,0.0
BUY,2020-03-02,31.600000381469727,10,316.00000381469727,0.0
BUY,2020-05-05,29.0,10,290.0,0.0
BUY,2020-05-08,27.600000381469727,10,276.00000381469727,0.0
BUY,2020-05-07,27.5,10,275.0,0.0
BUY,2020-05-14,26.0,10,260.0,0.0
BUY,2020-04-23,11.0,10,110.0,0.0
BUY,2020-04-29,11.199999809265137,10,111.99999809265137,0.0
BUY,2020-06-02,10.899999618530273,10,108.99999618530273,0.0
BUY,2020-06-09,10.949999809265137,10,109.49999809265137,0.0
BUY,2020-04-28,11.199999809265137,10,111.99999809265137,0.0
BUY,2020-04-30,11.0,10,110.0,0.0
BUY,2020-06-04,10.800000190734863,10,108.00000190734863,0.0
BUY,2020-06-10,11.300000190734863,10,113.00000190734863,0.0
BUY,2020-04-30,11.0,10,110.0,0.0
BUY,2020-05-07,10.75,10,107.5,0.0
BUY,2020-06-11,10.800000190734863,10,108.00000190734863,0.0
BUY,2020-06-11,10.800000190734863,10,108.00000190734863,0.0
BUY,2020-05-12,10.550000190734863,10,105.50000190734863,0.0
BUY,2020-06-24,11.149999618530273,10,111.49999618530273,0.0
BUY,2020-06-29,11.300000190734863,10,113.00000190734863,0.0
BUY,2020-05-18,10.449999809265137,10,104.49999809265137,0.0
BUY,2020-05-28,10.899999618530273,10,108.99999618530273,0.0
BUY,2020-06-29,11.300000190734863,10,113.00000190734863,0.0
BUY,2020-05-29,10.5,10,105.0,0.0
BUY,2020-07-02,11.100000381469727,10,111.00000381469727,0.0
BUY,2020-04-16,240.0,10,2400.0,0.0
BUY,2020-06-04,233.75,10,2337.5,0.0
BUY,2020-06-05,244.0500030517578,10,2440.500030517578,0.0
BUY,2020-06-08,251.75,10,2517.5,0.0
BUY,2020-04-16,240.0,10,2400.0,0.0
BUY,2020-06-08,251.75,10,2517.5,0.0
BUY,2020-06-09,252.4499969482422,10,2524.499969482422,0.0
BUY,2020-06-10,250.3249969482422,10,2503.249969482422,0.0
BUY,2020-04-20,232.5,10,2325.0,0.0
BUY,2020-06-10,250.3249969482422,10,2503.249969482422,0.0
BUY,2020-06-11,250.0625,10,2500.625,0.0
BUY,2020-06-15,248.75,10,2487.5,0.0
BUY,2020-05-04,231.3874969482422,10,2313.874969482422,0.0
BUY,2020-06-15,248.75,10,2487.5,0.0
BUY,2020-06-18,253.41250610351562,10,2534.1250610351562,0.0
BUY,2020-05-05,232.25,10,2322.5,0.0
BUY,2020-06-17,242.5,10,2425.0,0.0
BUY,2020-06-22,245.0124969482422,10,2450.124969482422,0.0
BUY,2020-06-19,254.2375030517578,10,2542.375030517578,0.0
BUY,2020-06-24,252.8249969482422,10,2528.249969482422,0.0
BUY,2020-04-21,20.0,10,200.0,0.0
BUY,2020-04-22,16.5,10,165.0,0.0
BUY,2020-04-23,18.0,10,180.0,0.0
BUY,2020-04-24,17.5,10,175.0,0.0
BUY,2020-04-21,20.0,10,200.0,0.0
BUY,2020-04-24,17.5,10,175.0,0.0
BUY,2020-04-28,16.5,10,165.0,0.0
BUY,2020-04-30,17.0,10,170.0,0.0
BUY,2020-04-21,20.0,10,200.0,0.0
BUY,2020-04-28,16.5,10,165.0,0.0
BUY,2020-05-04,16.0,10,160.0,0.0
BUY,2020-05-08,14.5,10,145.0,0.0
BUY,2020-04-30,17.0,10,170.0,0.0
BUY,2020-05-07,14.5,10,145.0,0.0
BUY,2020-05-14,16.0,10,160.0,0.0
BUY,2020-05-05,16.5,10,165.0,0.0
BUY,2020-05-12,15.0,10,150.0,0.0
BUY,2020-05-19,16.0,10,160.0,0.0
BUY,2020-05-14,16.0,10,160.0,0.0
BUY,2020-05-21,16.5,10,165.0,0.0
