Ticker,Fast Period,Slow Period,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
20MICRONS,10,30,2,1,1,-446,-0.45,"28.799999237060547, 35.70000076293945","27.399999618530273, 37.04999923706055"
20MICRONS,10,35,1,1,0,2730,2.73,35.70000076293945,38.20000076293945
20MICRONS,10,40,1,1,0,1092,1.09,35.70000076293945,37.04999923706055
20MICRONS,15,30,2,0,2,-3383,-3.38,"28.799999237060547, 38.75","27.399999618530273, 37.099998474121094"
20MICRONS,15,35,2,0,2,-8014,-8.01,"36.5, 38.75","27.299999237060547, 37.04999923706055"
20MICRONS,15,40,1,0,1,-4064,-4.06,38.75,33.79999923706055
20MICRONS,20,30,2,0,2,-9223,-9.22,"28.799999237060547, 43.900001525878906","26.100000381469727, 33.75"
20MICRONS,20,35,2,0,2,-10285,-10.29,"36.5, 43.900001525878906","26.100000381469727, 40.04999923706055"
20MICRONS,20,40,1,0,1,-3483,-3.48,43.900001525878906,38.349998474121094
360ONE,10,30,0,0,0,0,0.0,,
360ONE,10,35,0,0,0,0,0.0,,
360ONE,10,40,0,0,0,0,0.0,,
360ONE,15,30,0,0,0,0,0.0,,
360ONE,15,35,0,0,0,0,0.0,,
360ONE,15,40,0,0,0,0,0.0,,
360ONE,20,30,0,0,0,0,0.0,,
360ONE,20,35,0,0,0,0,0.0,,
360ONE,20,40,0,0,0,0,0.0,,
3IINFOLTD,10,30,4,0,4,-52297,-52.3,"82.5, 50.5, 80.0, 64.5","38.0, 38.5, 33.5, 43.849998474121094"
3IINFOLTD,10,35,3,0,3,-38500,-38.5,"94.5, 61.5, 66.5","52.5, 33.5, 43.900001525878906"
3IINFOLTD,10,40,2,0,2,-18065,-18.06,"47.5, 61.5","33.5, 42.45000076293945"
3IINFOLTD,15,30,4,1,3,-29699,-29.7,"629.0, 73.0, 42.5, 61.5","494.0, 32.0, 47.5, 42.45000076293945"
3IINFOLTD,15,35,3,0,3,-38630,-38.63,"88.0, 38.5, 74.5","32.0, 36.0, 32.04999923706055"
3IINFOLTD,15,40,2,0,2,-28405,-28.41,"47.5, 79.5","34.0, 27.450000762939453"
3IINFOLTD,20,30,4,0,4,-44957,-44.96,"672.0, 88.0, 41.5, 79.5","463.0, 46.5, 36.0, 32.04999923706055"
3IINFOLTD,20,35,4,0,4,-55154,-55.15,"438.5, 58.0, 80.0, 79.5","271.0, 46.5, 36.0, 27.450000762939453"
3IINFOLTD,20,40,3,1,2,-31952,-31.95,"38.0, 58.5, 87.5","40.0, 33.5, 31.100000381469727"
3MINDIA,10,30,3,2,1,108750,108.75,"2041.199951171875, 4903.35009765625, 25537.94921875","3592.300048828125, 19400.19921875, 24606.30078125"
3MINDIA,10,35,3,2,1,110298,110.3,"2041.199951171875, 4903.35009765625, 25537.94921875","3475.0, 20264.44921875, 23288.30078125"
3MINDIA,10,40,2,2,0,95904,95.9,"2041.199951171875, 4903.35009765625","2984.300048828125, 18307.150390625"
3MINDIA,15,30,3,2,1,83747,83.75,"2312.800048828125, 5909.9501953125, 24660.900390625","3961.449951171875, 18795.25, 23329.05078125"
3MINDIA,15,35,3,2,1,73212,73.21,"2540.64990234375, 5909.9501953125, 24660.900390625","3592.300048828125, 18307.150390625, 22963.849609375"
3MINDIA,15,40,3,2,1,62128,62.13,"2540.64990234375, 6297.14990234375, 24331.55078125","3040.449951171875, 20830.55078125, 22548.19921875"
3MINDIA,20,30,3,2,1,58506,58.51,"3487.699951171875, 6199.7998046875, 25400.69921875","3531.35009765625, 21078.0, 22963.849609375"
3MINDIA,20,35,4,4,0,52727,52.73,"3487.699951171875, 6297.14990234375, 24391.44921875, 25400.69921875","3592.300048828125, 18675.349609375, 24832.5, 27012.69921875"
3MINDIA,20,40,2,1,1,50151,50.15,"3315.10009765625, 6199.7998046875","3040.449951171875, 19161.5"
5PAISA,10,30,1,0,1,-170,-0.17,344.1499938964844,324.45001220703125
5PAISA,10,35,0,0,0,0,0.0,,
5PAISA,10,40,0,0,0,0,0.0,,
5PAISA,15,30,1,1,0,11390,11.39,222.89999389648438,307.54998779296875
5PAISA,15,35,0,0,0,0,0.0,,
5PAISA,15,40,0,0,0,0,0.0,,
5PAISA,20,30,1,0,1,-4250,-4.25,359.1499938964844,307.95001220703125
5PAISA,20,35,0,0,0,0,0.0,,
5PAISA,20,40,0,0,0,0,0.0,,
63MOONS,10,30,4,0,4,-66292,-66.29,"1568.5999755859375, 1120.9000244140625, 104.80000305175781, 125.30000305175781","768.5, 141.14999389648438, 75.25, 54.79999923706055"
