ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent
,2015-07-01,28.799999237060547,2015-11-01,27.399999618530273,-1873.7992057800293,-6461.376571655273
,2016-11-01,35.70000076293945,2019-01-01,37.04999923706055,1428.0006408691406,3944.753068433876
,2016-11-01,35.70000076293945,2019-03-01,38.20000076293945,2730.0,7541.436305147534
,2016-11-01,35.70000076293945,2019-06-01,37.04999923706055,1091.9993591308594,3016.572751702309
,2015-07-01,28.799999237060547,2015-11-01,27.399999618530273,-1873.7992057800293,-6461.376571655273
,2017-01-01,38.75,2019-04-01,37.099998474121094,-1509.3005905151367,-3865.0464020565955
,2015-12-01,36.5,2016-01-01,27.299999237060547,-6814.299373626709,-18928.609371185303
,2017-01-01,38.75,2019-06-01,37.04999923706055,-1199.6994094848633,-3072.2136566555528
,2017-01-01,38.75,2019-07-01,33.79999923706055,-4063.5,-10405.890088068223
,2015-07-01,28.799999237060547,2016-02-01,26.100000381469727,-2290.2007942199707,-7897.2441179999
,2017-04-01,43.900001525878906,2019-08-01,33.75,-6932.451042175293,-15791.459683865014
,2015-12-01,36.5,2016-02-01,26.100000381469727,-7553.200626373291,-20981.11285103692
,2017-04-01,43.900001525878906,2019-09-01,40.04999923706055,-2732.0,-6223.23440783822
,2017-04-01,43.900001525878906,2019-10-01,38.349998474121094,-3483.3015632629395,-7934.6274309570235
,2014-08-01,82.5,2015-07-01,38.0,-15609.0,-18920.0
,2017-03-01,50.5,2017-11-01,38.5,-7128.0,-14114.851485148514
,2017-12-01,80.0,2018-10-01,33.5,-18562.5,-22098.214285714286
,2020-12-01,64.5,2022-09-01,43.849998474121094,-10997.250709533691,-16292.223273383246
,2014-12-01,94.5,2015-06-01,52.5,-14265.0,-15015.789473684212
,2018-01-01,61.5,2018-10-01,33.5,-13636.0,-21817.6
,2021-01-01,66.5,2022-10-01,43.900001525878906,-10598.5,-15472.262773722628
,2018-05-01,47.5,2018-10-01,33.5,-8203.0,-17269.473684210527
,2021-02-01,61.5,2022-11-01,42.45000076293945,-9861.75,-15653.571428571428
,2010-07-01,629.0,2011-04-01,494.0,-6110.0,-969.8412698412698
