Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
20MICRONS,0,0,0,0,0.0,,
360ONE,0,0,0,0,0.0,,
3IINFOLTD,2,0,2,-29625,-29.62,"80.0, 87.5","47.5, 39.45000076293945"
3MINDIA,1,1,0,50920,50.92,6297.14990234375,18827.94921875
5PAISA,0,0,0,0,0.0,,
63MOONS,0,0,0,0,0.0,,
A2ZINFRA,0,0,0,0,0.0,,
AARON,0,0,0,0,0.0,,
AARTIDRUGS,2,0,2,-17031,-17.03,"14.706250190734863, 173.2375030517578","10.09375, 125.57499694824219"
AARTIIND,0,0,0,0,0.0,,
AARTISURF,0,0,0,0,0.0,,
AARVI,0,0,0,0,0.0,,
AAVAS,0,0,0,0,0.0,,
ABAN,1,0,1,-12016,-12.02,708.7999877929688,426.3999938964844
ABB,0,0,0,0,0.0,,
ABCAPITAL,0,0,0,0,0.0,,
ABFRL,1,0,1,-5872,-5.87,268.3999938964844,214.35000610351562
ACC,2,0,2,-15259,-15.26,"1673.449951171875, 2394.10009765625","1240.050048828125, 1731.699951171875"
ACCELYA,1,0,1,-11574,-11.57,112.30000305175781,71.30000305175781
ACE,0,0,0,0,0.0,,
ACLGATI,1,0,1,-1903,-1.9,122.75,114.44999694824219
ADANIENT,0,0,0,0,0.0,,
ADANIGREEN,0,0,0,0,0.0,,
ADANIPORTS,1,1,0,6537,6.54,509.70001220703125,612.6500244140625
ADANIPOWER,0,0,0,0,0.0,,
ADFFOODS,0,0,0,0,0.0,,
ADORWELD,0,0,0,0,0.0,,
ADSL,0,0,0,0,0.0,,
ADVANIHOTR,1,0,1,-9818,-9.82,37.724998474121094,24.825000762939453
ADVENZYMES,0,0,0,0,0.0,,
AEGISCHEM,2,1,1,188668,188.67,"36.494998931884766, 24.1200008392334","13.96500015258789, 189.89999389648438"
AFFLE,0,0,0,0,0.0,,
AGARIND,0,0,0,0,0.0,,
AGI,3,0,3,-20564,-20.56,"33.8677978515625, 98.49689483642578, 141.6842041015625","29.22875213623047, 76.04722595214844, 92.6290512084961"
AHLEAST,0,0,0,0,0.0,,
AHLUCONT,0,0,0,0,0.0,,
AIAENG,1,1,0,78838,78.84,419.3999938964844,1534.6500244140625
AIRAN,0,0,0,0,0.0,,
AIROLAM,0,0,0,0,0.0,,
AJANTPHARM,0,0,0,0,0.0,,
AJMERA,0,0,0,0,0.0,,
AKSHARCHEM,0,0,0,0,0.0,,
AKZOINDIA,1,0,1,-4692,-4.69,865.5999755859375,744.0499877929688
ALANKIT,0,0,0,0,0.0,,
ALBERTDAVD,0,0,0,0,0.0,,
ALEMBICLTD,3,1,2,14550,14.55,"17.850000381469727, 65.0999984741211, 81.0","35.650001525878906, 39.54999923706055, 72.44999694824219"
ALICON,0,0,0,0,0.0,,
ALKEM,0,0,0,0,0.0,,
ALKYLAMINE,0,0,0,0,0.0,,
ALLCARGO,0,0,0,0,0.0,,
ALLSEC,0,0,0,0,0.0,,
ALMONDZ,1,0,1,-3229,-3.23,65.4000015258789,59.400001525878906
ALOKINDS,0,0,0,0,0.0,,
ALPHAGEO,1,1,0,53935,53.94,260.3999938964844,723.5
AMBER,0,0,0,0,0.0,,
AMBIKCO,0,0,0,0,0.0,,
AMBUJACEM,0,0,0,0,0.0,,
AMRUTANJAN,1,1,0,5641,5.64,217.9499969482422,248.4499969482422
ANANTRAJ,0,0,0,0,0.0,,
ANDHRAPAP,1,0,1,-10607,-10.61,204.25,132.9499969482422
ANDHRSUGAR,1,1,0,1282,1.28,105.25,108.94999694824219
ANGELONE,0,0,0,0,0.0,,
ANMOL,0,0,0,0,0.0,,
ANUP,0,0,0,0,0.0,,
ANURAS,0,0,0,0,0.0,,
APARINDS,1,1,0,24240,24.24,340.0,620.5
APCL,0,0,0,0,0.0,,
APCOTEXIND,0,0,0,0,0.0,,
APEX,0,0,0,0,0.0,,
APLAPOLLO,0,0,0,0,0.0,,
