Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
360ONE,0,0,0,0,0.0,,
3MINDIA,2,2,0,21549,21.55,"3315.10009765625, 6297.14990234375","3544.050048828125, 11123.099609375"
AARTIDRUGS,3,1,2,94264,94.26,"14.706250190734863, 26.056249618530273, 173.2375030517578","14.118749618530273, 115.4625015258789, 125.57499694824219"
AARTIIND,0,0,0,0,0.0,,
AAVAS,0,0,0,0,0.0,,
ABB,1,0,1,-2623,-2.62,1061.059814453125,962.103271484375
ABCAPITAL,0,0,0,0,0.0,,
ABFRL,1,0,1,-1160,-1.16,268.3999938964844,256.6499938964844
ACC,2,0,2,-10849,-10.85,"1673.449951171875, 2394.10009765625","1334.8499755859375, 1968.300048828125"
ACCELYA,1,0,1,-4699,-4.7,112.30000305175781,95.9000015258789
ACE,1,0,1,-1742,-1.74,37.849998474121094,35.349998474121094
ADANIENT,3,1,2,-1970,-1.97,"82.57693481445312, 72.14656829833984, 110.91464233398438","81.15148162841797, 49.504276275634766, 137.60000610351562"
ADANIGREEN,0,0,0,0,0.0,,
ADANIPORTS,3,2,1,13916,13.92,"188.1999969482422, 398.0, 509.70001220703125","268.0, 328.8999938964844, 612.6500244140625"
ADANIPOWER,0,0,0,0,0.0,,
ADFFOODS,0,0,0,0,0.0,,
ADVENZYMES,1,0,1,-61,-0.06,316.6000061035156,315.20001220703125
AEGISCHEM,3,1,2,203557,203.56,"36.494998931884766, 24.1200008392334, 304.20001220703125","22.30500030517578, 198.6999969482422, 227.60000610351562"
AFFLE,0,0,0,0,0.0,,
AGI,4,1,3,-7969,-7.97,"33.8677978515625, 98.49689483642578, 141.6842041015625, 153.14999389648438","34.04728698730469, 72.6507797241211, 94.2168197631836, 203.3000030517578"
AHLUCONT,0,0,0,0,0.0,,
AIAENG,1,1,0,33423,33.42,419.3999938964844,878.0
AJANTPHARM,1,1,0,1895985,1895.98,16.288888931274414,1046.5333251953125
AJMERA,1,0,1,-10488,-10.49,328.95001220703125,230.39999389648438
AKZOINDIA,1,0,1,-2144,-2.14,865.5999755859375,809.3499755859375
ALEMBICLTD,4,2,2,12309,12.31,"33.45622253417969, 17.850000381469727, 65.0999984741211, 81.0","11.399999618530273, 39.45000076293945, 39.54999923706055, 99.0999984741211"
ALICON,2,0,2,-20114,-20.11,"110.0999984741211, 814.2999877929688","60.0, 676.7999877929688"
ALKEM,1,1,0,9409,9.41,2325.85009765625,3149.050048828125
ALKYLAMINE,0,0,0,0,0.0,,
ALLCARGO,1,1,0,4911,4.91,29.806249618530273,34.17499923706055
ALOKINDS,0,0,0,0,0.0,,
AMBER,0,0,0,0,0.0,,
AMBUJACEM,2,1,1,5427,5.43,"140.10000610351562, 309.04998779296875","167.5, 299.25"
AMRUTANJAN,2,0,2,-10701,-10.7,"217.9499969482422, 440.29998779296875","189.10000610351562, 329.95001220703125"
ANANTRAJ,2,1,1,-6325,-6.33,"26.692760467529297, 49.54999923706055","19.60413932800293, 53.650001525878906"
ANDHRAPAP,1,0,1,-2460,-2.46,204.25,180.0500030517578
ANGELONE,0,0,0,0,0.0,,
ANUP,0,0,0,0,0.0,,
ANURAS,0,0,0,0,0.0,,
APARINDS,1,1,0,32212,32.21,340.0,705.5
APCOTEXIND,1,1,0,1786,1.79,392.1499938964844,417.1000061035156
APLAPOLLO,0,0,0,0,0.0,,
APLLTD,0,0,0,0,0.0,,
APOLLO,0,0,0,0,0.0,,
APOLLOHOSP,1,1,0,86269,86.27,341.5,1313.4000244140625
APOLLOPIPE,0,0,0,0,0.0,,
APOLLOTYRE,2,0,2,-11455,-11.45,"64.9000015258789, 253.39999389648438","51.20000076293945, 212.25"
ARMANFIN,0,0,0,0,0.0,,
ARVIND,2,1,1,4188,4.19,"19.924598693847656, 120.75","27.31092071533203, 92.3499984741211"
ARVINDFASN,0,0,0,0,0.0,,
ARVSMART,0,0,0,0,0.0,,
ASAHIINDIA,3,2,1,35207,35.21,"108.15283203125, 126.94999694824219, 357.95001220703125","67.89727783203125, 279.79998779296875, 481.8500061035156"
ASHAPURMIN,1,0,1,-6336,-6.34,117.0,90.9000015258789
ASHIANA,1,0,1,-7339,-7.34,170.4499969482422,129.0500030517578
ASHOKA,1,1,0,1925,1.93,85.5,90.80000305175781
ASHOKLEY,2,1,1,7355,7.35,"31.825000762939453, 52.400001525878906","23.375, 79.5999984741211"
ASIANPAINT,0,0,0,0,0.0,,
ASTEC,2,2,0,227237,227.24,"62.70000076293945, 1142.550048828125","522.7999877929688, 1381.949951171875"
ASTERDM,0,0,0,0,0.0,,
ASTRAL,1,0,1,-6202,-6.2,16.12800407409668,12.519002914428711
ASTRAMICRO,0,0,0,0,0.0,,
ASTRAZEN,2,2,0,46726,46.73,"923.25, 1563.8499755859375","1522.5999755859375, 3009.300048828125"
ATGL,0,0,0,0,0.0,,
ATUL,1,1,0,6925,6.93,108.1500015258789,134.39999389648438
AUBANK,0,0,0,0,0.0,,
AURIONPRO,1,0,1,-10213,-10.21,231.88650512695312,146.9346466064453
AUROPHARMA,3,1,2,111467,111.47,"95.2249984741211, 146.77499389648438, 980.8499755859375","84.94999694824219, 740.7999877929688, 727.2999877929688"
AUTOAXLES,3,1,2,-4192,-4.19,"708.5499877929688, 1438.5999755859375, 1571.0999755859375","585.4500122070312, 1125.25, 2055.60009765625"
AVANTIFEED,0,0,0,0,0.0,,
AXISBANK,2,0,2,-6950,-6.95,"246.47000122070312, 563.9500122070312","214.5500030517578, 510.5"
AXISCADES,2,1,1,-12389,-12.39,"23.100000381469727, 179.6999969482422","13.300000190734863, 188.0"
BAJAJ-AUTO,1,1,0,12894,12.89,1046.675048828125,1511.4000244140625
BAJAJCON,1,0,1,-4247,-4.25,476.54998779296875,405.29998779296875
BAJAJELEC,3,1,2,1861,1.86,"269.8889465332031, 300.8763732910156, 1083.0902099609375","186.5213165283203, 420.69439697265625, 1046.814697265625"
BAJAJFINSV,0,0,0,0,0.0,,
BAJAJHIND,1,0,1,-10750,-10.75,15.899999618530273,9.949999809265137
BAJAJHLDNG,0,0,0,0,0.0,,
BAJFINANCE,1,1,0,34,0.03,59.59679412841797,58.892398834228516
BALAMINES,2,1,1,45315,45.32,"34.90999984741211, 1124.4000244140625","34.29999923706055, 3025.0"
BALKRISIND,2,2,0,15672,15.67,"74.892578125, 1646.300048828125","100.7630386352539, 1822.550048828125"
BALMLAWRIE,1,0,1,-3769,-3.77,59.766666412353516,50.83333206176758
BALRAMCHIN,1,0,1,-8795,-8.79,118.80000305175781,83.3499984741211
BANARISUG,1,1,0,6425,6.42,2196.800048828125,2650.60009765625
BANCOINDIA,1,0,1,-8840,-8.84,143.75,101.25
BANDHANBNK,0,0,0,0,0.0,,
BANKBARODA,1,0,1,-7339,-7.34,193.14999389648438,144.14999389648438
BANKINDIA,0,0,0,0,0.0,,
BARBEQUE,0,0,0,0,0.0,,
BASF,2,2,0,17207,17.21,"346.95001220703125, 2599.300048828125","534.2999877929688, 2661.25"
BATAINDIA,2,2,0,67931,67.93,"143.02499389648438, 734.25","373.7749938964844, 1231.0999755859375"
BAYERCROP,0,0,0,0,0.0,,
BBL,0,0,0,0,0.0,,
BBOX,2,1,1,17660,17.66,"37.849998474121094, 84.43000030517578","23.780000686645508, 168.3800048828125"
BBTC,1,0,1,-9738,-9.74,111.22000122070312,74.56999969482422
BDL,0,0,0,0,0.0,,
BECTORFOOD,0,0,0,0,0.0,,
BEL,1,1,0,14178,14.18,21.046968460083008,31.21060562133789
BEML,2,1,1,5344,5.34,"668.5324096679688, 1096.5767822265625","796.2509155273438, 1056.99365234375"
BEPL,3,0,3,-26698,-26.7,"27.600000381469727, 15.866665840148926, 117.56666564941406","20.16666603088379, 10.666666030883789, 86.0999984741211"
BERGEPAINT,1,1,0,6966,6.97,20.37202262878418,25.699403762817383
BFINVEST,1,1,0,15337,15.34,82.55000305175781,124.0
BFUTILITIE,0,0,0,0,0.0,,
BHARATFORG,4,1,3,-4813,-4.81,"188.5749969482422, 313.0, 731.5, 767.2000122070312","153.875, 429.67498779296875, 601.0999755859375, 651.7999877929688"
BHARATRAS,1,1,0,592,0.59,86.19999694824219,80.19999694824219
BHARTIARTL,2,0,2,-11426,-11.43,"365.189453125, 447.4291687011719","319.3154602050781, 336.709716796875"
BHEL,1,0,1,-2825,-2.82,327.9599914550781,293.8666687011719
BIOCON,2,1,1,775,0.78,"51.59166717529297, 76.40833282470703","55.15833282470703, 73.96666717529297"
BIRLACORPN,3,2,1,-2242,-2.24,"369.70001220703125, 379.54998779296875, 949.8499755859375","321.3999938964844, 391.45001220703125, 974.5"
BLKASHYAP,1,0,1,-9802,-9.8,15.449999809265137,10.649999618530273
BLS,0,0,0,0,0.0,,
BLUEDART,2,2,0,111952,111.95,"1119.6500244140625, 6012.64990234375","5349.25, 6315.5"
BLUESTARCO,1,0,1,-1994,-1.99,173.02499389648438,156.4250030517578
BOMDYEING,1,0,1,-5683,-5.68,194.25,167.75
BOROLTD,0,0,0,0,0.0,,
BORORENEW,0,0,0,0,0.0,,
BOSCHLTD,1,1,0,11450,11.45,5976.10009765625,8251.650390625
BPCL,0,0,0,0,0.0,,
BRIGADE,0,0,0,0,0.0,,
BRITANNIA,0,0,0,0,0.0,,
BSE,1,1,0,10775,10.77,399.4666748046875,544.9000244140625
BSHSL,0,0,0,0,0.0,,
BSOFT,3,1,2,5921,5.92,"51.14476776123047, 131.5373077392578, 245.6999969482422","45.51899719238281, 114.30000305175781, 353.25"
CAMS,0,0,0,0,0.0,,
CANBK,1,1,0,4231,4.23,79.79660034179688,89.27998352050781
CANFINHOME,0,0,0,0,0.0,,
CANTABIL,0,0,0,0,0.0,,
CAPACITE,0,0,0,0,0.0,,
CAPLIPOINT,1,1,0,5905,5.9,597.4500122070312,713.2999877929688
CARBORUNIV,1,1,0,11270,11.27,105.9000015258789,148.8000030517578
CARERATING,0,0,0,0,0.0,,
CARYSIL,0,0,0,0,0.0,,
