Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
20MICRONS,2,2,0,306755.5607223511
21STCENMGM,2,1,0,99999.74831581116
360ONE,0,0,0,0.0
3IINFOLTD,2,0,2,-95952.0
3MINDIA,3,2,0,289892.8046875
3PLAND,1,0,0,0.0
5PAISA,2,1,0,99955.6293182373
63MOONS,4,2,2,-83587.5478515625
A2ZINFRA,3,2,0,299973.20135498047
AAATECH,0,0,0,0.0
AAKASH,2,2,0,299992.8594055176
AAREYDRUGS,0,0,0,0.0
AARON,0,0,0,0.0
AARTIDRUGS,2,2,0,300112.4375
AARTIIND,2,1,0,99986.53371429443
AARTISURF,1,0,0,0.0
AARVEEDEN,2,1,0,100840.6048488617
AARVI,1,1,0,99982.40168762207
AAVAS,2,1,0,99123.0
ABAN,3,0,2,-95921.80224609375
ABB,2,2,0,299489.4188232422
ABBOTINDIA,0,0,0,0.0
ABCAPITAL,1,0,0,0.0
ABFRL,1,1,0,99984.02673339844
ABMINTLLTD,2,2,0,299953.75
ABSLAMC,1,0,0,0.0
ACC,1,0,0,0.0
ACCELYA,1,1,0,99703.79699707031
ACCURACY,2,1,1,-59998.10554897785
ACE,3,2,1,-19975.868555831912
ACEINTEG,1,1,0,99993.32973480225
ACL,3,1,1,-58449.600000000006
ACLGATI,2,1,0,100135.49365997314
ADANIENT,3,3,0,700520.9366188049
ADANIGREEN,1,0,0,0.0
ADANIPORTS,2,2,0,299853.29542541504
ADANIPOWER,1,1,0,99969.60144042969
ADFFOODS,2,2,0,301454.1287956238
ADL,0,0,0,0.0
ADORWELD,2,2,0,299555.55113220215
ADROITINFO,2,1,1,-59200.008633422854
ADSL,2,2,0,304332.60276412964
ADVANIHOTR,2,1,0,102401.59649658203
ADVENZYMES,1,0,0,0.0
AEGISCHEM,1,1,0,100654.40734863281
AETHER,0,0,0,0.0
AFFLE,1,0,0,0.0
AGARIND,1,0,0,0.0
AGI,3,2,0,301577.6635131836
AGRITECH,1,0,0,0.0
AGROPHOS,1,1,0,99993.59545898438
AGSTRA,0,0,0,0.0
AHLADA,1,1,0,108174.0
AHLEAST,1,0,0,0.0
AHLUCONT,1,0,0,0.0
AIAENG,1,1,0,99809.59741210938
AIRAN,0,0,0,0.0
AIROLAM,1,1,0,99985.94591522217
AJANTPHARM,1,0,0,0.0
AJMERA,2,2,0,300197.70835876465
AJOONI,1,1,0,104949.3066548109
AKASH,1,0,0,0.0
AKG,2,2,0,309690.05309295654
AKSHAR,0,0,0,0.0
AKSHARCHEM,1,0,0,0.0
AKSHOPTFBR,3,1,1,-59711.38443603515
AKZOINDIA,2,1,0,100187.99865722656
ALANKIT,2,1,0,99993.5986328125
ALBERTDAVD,1,1,0,99712.40173339844
ALEMBICLTD,2,2,0,299947.90673065186
ALICON,2,1,0,99962.00252532959
ALKALI,2,1,0,99973.1025466919
ALKEM,2,1,0,99676.49597167969
ALKYLAMINE,1,0,0,0.0
ALLCARGO,2,2,0,302910.375
ALLSEC,3,3,0,710058.5100727081
ALMONDZ,3,2,1,-20008.530979537973
ALOKINDS,2,1,1,-59970.10284838677
ALPA,2,2,0,299973.89235687256
ALPHAGEO,2,1,0,99894.40258789062
ALPSINDUS,4,2,1,-9828.755116605753
AMBER,1,1,0,99625.19702148438
AMBICAAGAR,1,1,0,99988.50437164307
AMBIKCO,1,0,0,0.0
AMBUJACEM,2,1,0,99904.70175170898
AMDIND,2,2,0,304118.40742492676
AMIORG,0,0,0,0.0
AMJLAND,2,2,0,302100.3081588745
AMRUTANJAN,1,1,0,100131.20849609375
ANANDRATHI,0,0,0,0.0
ANANTRAJ,3,1,1,-59976.56586074829
ANDHRAPAP,3,2,0,299536.10415649414
ANDHRSUGAR,2,2,0,301035.3817253113
ANGELONE,0,0,0,0.0
ANIKINDS,3,2,1,-18154.402087020862
ANKITMETAL,2,0,2,-96000.0
ANMOL,1,0,0,0.0
ANTGRAPHIC,3,2,1,-20001.268076634413
ANUP,2,1,0,99989.10159301758
ANURAS,0,0,0,0.0
APARINDS,2,2,0,300682.99603271484
APCL,1,1,0,99944.95095825195
APCOTEXIND,2,2,0,299814.07135009766
APEX,1,0,0,0.0
APLAPOLLO,1,1,0,100588.94577026367
APLLTD,1,0,0,0.0
APOLLO,0,0,0,0.0
APOLLOHOSP,2,1,0,99567.00439453125
APOLLOPIPE,0,0,0,0.0
APOLLOTYRE,2,2,0,300123.7046203613
APOLSINHOT,1,1,0,99450.0
APTECHT,2,2,0,299732.67108917236
APTUS,1,0,0,0.0
ARCHIDPLY,1,1,0,99999.98627185822
ARCHIES,2,1,0,99998.39846801758
ARENTERP,1,1,0,99993.50336074829
ARIES,1,1,0,99918.70124816895
ARIHANTCAP,0,0,0,0.0
ARIHANTSUP,2,1,0,99951.20251464844
ARMANFIN,2,2,0,304226.80961608887
AROGRANITE,1,1,0,102122.8970375061
ARROWGREEN,2,0,1,-79921.37109375
ARSHIYA,2,2,0,299942.49078941345
ARTEMISMED,0,0,0,0.0
ARTNIRMAN,2,1,0,99999.20194625854
ARVEE,2,2,0,299967.0
ARVIND,1,0,0,0.0
ARVINDFASN,1,1,0,99925.30397033691
ARVSMART,1,1,0,99940.74508666992
ASAHIINDIA,2,2,0,300047.597076416
ASAHISONG,1,1,0,99991.20446777344
ASAL,2,1,1,-60005.80769042969
ASALCBR,0,0,0,0.0
ASHAPURMIN,1,1,0,99981.85469055176
ASHIANA,2,1,0,100317.35910797119
ASHIMASYN,4,2,1,-19074.80825214385
ASHOKA,1,0,0,0.0
ASHOKLEY,2,1,0,100408.50160598755
ASIANENE,0,0,0,0.0
ASIANHOTNR,2,1,1,-59665.719903564444
ASIANPAINT,2,1,0,99982.10125732422
ASIANTILES,2,1,0,101611.16764068604
ASMS,4,3,0,699986.0879628658
ASPINWALL,1,0,0,0.0
ASTEC,3,3,0,700098.2146453857
ASTERDM,1,1,0,100229.39753723145
ASTRAL,3,2,0,303258.1298828125
ASTRAMICRO,2,2,0,303606.4758300781
ASTRAZEN,2,1,0,101459.39709472656
ASTRON,1,0,0,0.0
ATALREAL,0,0,0,0.0
ATFL,2,1,0,99632.75
ATGL,1,1,0,99949.9474029541
ATLANTAA,3,2,1,-19985.994514846796
ATUL,2,1,0,97994.10400390625
ATULAUTO,1,0,0,0.0
AUBANK,1,0,0,0.0
AURIONPRO,3,3,0,700599.2695388794
AUROPHARMA,2,1,0,99992.5
AURUM,2,1,1,-55489.70927734376
AUSOMENT,2,2,0,328347.18647766113
AUTOAXLES,3,2,0,301793.11389160156
