ticker,buy_price,sell_price,profit,date,cash,equity
POONAWALLA,39,0,38,2007-01-29,100784,100784
KIRLOSIND,133,0,-4,2007-01-29,100784,100784
SOMANYCERA,14,0,1461,2007-01-29,100784,100784
ORIENTLTD,32,0,652,2007-01-29,100784,100784
JAICORPLTD,16,0,-1362,2007-01-29,100784,100784
ZENITHEXPO,84,0,0,2007-01-29,100784,100784
HDFCBANK,106,0,30061,2007-01-31,190981,190981
TECHM,438,0,30169,2007-01-31,190981,190981
POONAWALLA,38,0,29967,2007-01-31,190981,190981
HDFCBANK,108,0,-863,2007-02-19,205225,205225
TECHM,421,0,-799,2007-02-19,205225,205225
POONAWALLA,38,0,3857,2007-02-19,205225,205225
GOLDTECH,85,0,2806,2007-02-19,205225,205225
KIRLOSIND,135,0,-333,2007-02-19,205225,205225
NCC,122,0,-1569,2007-02-19,205225,205225
GOLDENTOBC,218,0,11144,2007-02-19,205225,205225
GOLDTECH,89,64,-9682,2007-03-01,20429,181537
NCC,119,89,-7231,2007-03-08,21719,169605
HDFCBANK,98,0,-1921,2007-03-28,172583,172978
TECHM,339,0,-4108,2007-03-28,172583,172978
POONAWALLA,41,0,-1472,2007-03-28,172583,172978
GOLDTECH,70,0,-2030,2007-03-28,172583,172978
KIRLOSIND,131,0,-3762,2007-03-28,172583,172978
BHARATGEAR,38,0,1174,2007-03-28,172583,172978
SUDARSCHEM,11,0,-18,2007-03-28,172583,172978
M&M,190,0,10,2007-03-28,172583,172978
TFL,33,0,1,2007-03-28,172583,172978
JISLJALEQS,80,0,-10,2007-03-28,172583,172978
KHAITANLTD,58,0,-3161,2007-03-28,172583,172978
AGI,25,0,-18,2007-03-28,172583,172978
JBMA,1,0,1,2007-03-28,172583,172978
HDFCBANK,96,0,-72,2007-04-09,205481,205481
TECHM,358,0,-1142,2007-04-09,205481,205481
POONAWALLA,36,0,1684,2007-04-09,205481,205481
GOLDTECH,63,0,974,2007-04-09,205481,205481
KIRLOSIND,114,0,2882,2007-04-09,205481,205481
ALICON,102,0,28183,2007-04-09,205481,205481
JISLJALEQS,79,0,-24,2007-04-09,205481,205481
HDFCBANK,97,0,-30030,2007-05-02,1,1
TECHM,354,0,-29820,2007-05-02,1,1
POONAWALLA,36,0,-28543,2007-05-02,1,1
GOLDTECH,66,0,-30712,2007-05-02,1,1
KIRLOSIND,117,0,-29504,2007-05-02,1,1
NCC,99,0,-30147,2007-05-02,1,1
SUDARSCHEM,12,0,-25685,2007-05-02,1,1
