Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Buy Prices,Sell Prices
20MICRONS,1,1,0,62559,30,92
21STCENMGM,3,0,3,-25380,"23, 13, 29","15, 10, 21"
360ONE,0,0,0,0,,
3IINFOLTD,3,0,3,-34300,"456, 88, 38","271, 64, 22"
3MINDIA,4,3,1,179066,"1028, 4107, 3310, 11958","3488, 2984, 10789, 37309"
3PLAND,4,0,4,-44156,"13, 10, 7, 7","9, 7, 5, 4"
5PAISA,1,1,0,70618,149,508
63MOONS,7,1,6,-22733,"620, 273, 204, 116, 86, 80, 76","114, 175, 153, 73, 63, 46, 228"
A2ZINFRA,4,2,2,125851,"12, 14, 6, 5","41, 10, 4, 16"
AAATECH,0,0,0,0,,
AAKASH,1,1,0,84421,2,7
AAREYDRUGS,0,0,0,0,,
AARON,1,1,0,97884,21,90
AARTECH,0,0,0,0,,
AARTIDRUGS,2,2,0,146331,"12, 132","45, 435"
AARTIIND,2,1,1,70740,"13, 780","49, 538"
AARTIPHARM,0,0,0,0,,
AARTISURF,1,0,1,-7866,728,542
AARVEEDEN,3,1,2,40835,"76, 63, 17","54, 33, 54"
AARVI,2,1,1,55881,"34, 30","22, 95"
AAVAS,0,0,0,0,,
ABAN,7,1,6,711,"902, 632, 431, 310, 254, 175, 58","669, 380, 281, 212, 770, 112, 40"
ABB,3,2,1,121498,"440, 1188, 941","1325, 744, 3263"
ABBOTINDIA,0,0,0,0,,
ABCAPITAL,2,1,1,46175,"97, 63","42, 196"
ABFRL,0,0,0,0,,
ABMINTLLTD,2,2,0,207063,"21, 18","76, 87"
ABSLAMC,1,0,1,-9584,460,311
ACC,1,0,1,-9475,1414,968
ACCELYA,1,0,1,-11261,61,38
ACCURACY,2,1,1,51552,"8, 2","3, 6"
ACE,5,3,2,176877,"16, 47, 12, 115, 54","50, 35, 39, 78, 170"
ACEINTEG,2,1,1,50421,"18, 10","9, 31"
ACI,0,0,0,0,,
ACL,6,0,6,-60767,"231, 133, 103, 53, 147, 137","166, 91, 52, 37, 108, 86"
ACLGATI,5,1,4,44667,"36, 120, 87, 44, 146","27, 88, 54, 161, 100"
ADANIENSOL,0,0,0,0,,
ADANIENT,7,4,3,229420,"32, 64, 31, 32, 50, 47, 146","100, 47, 22, 96, 32, 145, 480"
ADANIGREEN,1,0,1,-11844,2175,1224
ADANIPORTS,3,2,1,117346,"158, 77, 248","99, 244, 770"
ADANIPOWER,5,2,3,115596,"53, 52, 32, 31, 225","35, 39, 20, 95, 756"
ADFFOODS,2,0,2,-18976,"12, 54","9, 34"
ADL,0,0,0,0,,
ADORWELD,2,1,1,48545,"111, 352","343, 185"
ADROITINFO,2,0,2,-16766,"40, 6","29, 4"
ADSL,5,2,3,149083,"187, 126, 28, 12, 17","98, 90, 19, 54, 66"
ADVANIHOTR,4,1,3,45152,"46, 22, 28, 23","34, 16, 15, 80"
ADVENZYMES,1,0,1,-8561,262,189
AEGISCHEM,3,1,2,66083,"5, 17, 16","18, 11, 11"
AEROFLEX,0,0,0,0,,
AETHER,0,0,0,0,,
AFFLE,1,0,1,-8346,1309,932
AGARIND,0,0,0,0,,
AGI,6,1,5,14963,"24, 17, 40, 29, 68, 284","16, 11, 29, 21, 45, 896"
AGRITECH,2,0,2,-19679,"73, 61","50, 43"
AGROPHOS,2,1,1,127999,"17, 11","9, 63"
AGSTRA,0,0,0,0,,
AHL,0,0,0,0,,
AHLADA,1,0,1,-4026,61,46
AHLEAST,1,0,1,-8494,149,108
AHLUCONT,1,1,0,86941,306,1189
AIAENG,3,2,1,109535,"313, 169, 940","156, 512, 2903"
AIRAN,0,0,0,0,,
AIROLAM,2,1,1,58478,"37, 20","27, 64"
AJANTPHARM,2,1,1,52689,"913, 759","642, 2333"
AJMERA,1,0,1,-14301,121,65
AJOONI,2,1,1,89152,"2, 1","1, 6"
AKASH,1,0,1,-10444,59,36
AKG,1,1,0,84168,9,35
AKI,0,0,0,0,,
AKSHAR,1,0,1,-12456,6,4
AKSHARCHEM,1,0,1,-8995,326,226
AKSHOPTFBR,4,1,3,27560,"13, 7, 28, 8","7, 22, 19, 6"
AKZOINDIA,1,1,0,59504,416,1266
ALANKIT,4,0,4,-41846,"28, 24, 15, 17","19, 14, 11, 12"
ALBERTDAVD,1,1,0,59156,351,1059
ALEMBICLTD,3,0,3,-23925,"32, 11, 47","23, 8, 35"
ALICON,5,3,2,190235,"22, 60, 67, 586, 251","73, 44, 231, 392, 795"
ALKALI,1,0,1,-9900,60,40
ALKEM,0,0,0,0,,
ALKYLAMINE,2,0,2,-16462,"3180, 2536","2155, 1814"
ALLCARGO,3,2,1,124891,"13, 26, 20","40, 15, 67"
ALLSEC,6,3,3,249929,"151, 26, 15, 27, 277, 187","90, 18, 61, 136, 116, 640"
ALMONDZ,4,2,2,118957,"15, 33, 9, 11","46, 22, 6, 39"
ALOKINDS,6,1,5,40665,"27, 21, 10, 3, 4, 3","18, 16, 7, 2, 3, 12"
ALPA,4,1,3,91284,"22, 10, 7, 31","16, 7, 35, 23"
ALPHAGEO,4,0,4,-44507,"104, 471, 194, 312","66, 304, 125, 220"
ALPSINDUS,6,0,6,-64606,"8, 2, 6, 3, 1, 5","5, 1, 4, 2, 1, 3"
AMBER,1,1,0,64492,817,2580
AMBICAAGAR,1,1,0,67776,8,25
AMBIKCO,1,1,0,58529,51,156
AMBUJACEM,3,2,1,118545,"70, 229, 192","218, 156, 606"
AMDIND,2,0,2,-18990,"17, 27","10, 20"
AMIORG,0,0,0,0,,
AMJLAND,2,0,2,-17141,"19, 20","14, 14"
AMNPLST,0,0,0,0,,
AMRUTANJAN,1,1,0,68854,215,709
ANANDRATHI,0,0,0,0,,
ANANTRAJ,7,2,5,123678,"37, 34, 23, 18, 16, 10, 74","22, 24, 17, 12, 11, 41, 243"
ANDHRAPAP,1,1,0,68011,182,597
ANDHRSUGAR,2,1,1,59587,"15, 58","51, 35"
ANGELONE,0,0,0,0,,
ANIKINDS,5,3,2,190129,"24, 26, 41, 9, 9","87, 78, 30, 7, 27"
ANKITMETAL,4,0,4,-35375,"8, 3, 2, 5","6, 2, 1, 4"
ANMOL,0,0,0,0,,
ANTGRAPHIC,5,1,4,110531,"0, 0, 1, 1, 1","0, 0, 1, 0, 3"
ANUP,1,1,0,61222,192,584
ANURAS,0,0,0,0,,
APARINDS,4,1,3,45071,"176, 146, 118, 616","130, 108, 387, 454"
APCL,1,1,0,82005,124,456
APCOTEXIND,2,2,0,155456,"4, 86","12, 338"
APEX,2,0,2,-16952,"242, 259","169, 193"
APLAPOLLO,1,1,0,62229,144,442
APLLTD,1,0,1,-9494,627,428
APOLLO,0,0,0,0,,
APOLLOHOSP,1,1,0,67551,1106,3620
APOLLOPIPE,0,0,0,0,,
APOLLOTYRE,5,3,2,159518,"39, 18, 66, 163, 108","23, 58, 199, 79, 324"
APOLSINHOT,0,0,0,0,,
APTECHT,4,1,3,64253,"193, 66, 38, 137","139, 47, 156, 90"
APTUS,1,0,1,-9715,360,242
ARCHIDPLY,2,1,1,57214,"15, 5","11, 17"
ARCHIES,4,0,4,-37656,"25, 25, 24, 20","17, 18, 17, 13"
ARE&M,0,0,0,0,,
ARENTERP,1,1,0,66604,11,35
ARIES,3,1,2,52514,"35, 122, 90","114, 86, 62"
ARIHANTCAP,0,0,0,0,,
ARIHANTSUP,4,0,4,-40781,"61, 40, 31, 28","35, 25, 21, 20"
ARMANFIN,2,2,0,130744,"226, 445","723, 1435"
AROGRANITE,2,1,1,58959,"22, 26","17, 81"
ARROWGREEN,3,1,2,68480,"463, 116, 94","301, 69, 370"
ARSHIYA,3,2,1,119368,"15, 16, 32","11, 49, 102"
ARTEMISMED,0,0,0,0,,
ARTNIRMAN,2,1,1,154712,"20, 74","120, 51"
ARVEE,2,1,1,85402,"30, 35","20, 139"
ARVIND,5,3,2,178740,"18, 7, 91, 32, 98","12, 21, 63, 104, 315"
ARVINDFASN,1,0,1,-7594,164,120
ARVSMART,1,0,1,-8568,124,90
ASAHIINDIA,3,2,1,120362,"42, 209, 177","127, 156, 556"
ASAHISONG,1,0,1,-13688,137,74
ASAL,6,2,4,105673,"26, 75, 47, 44, 36, 21","82, 53, 32, 31, 20, 77"
ASALCBR,0,0,0,0,,
ASHAPURMIN,4,1,3,32359,"28, 65, 28, 96","20, 44, 17, 290"
ASHIANA,3,2,1,132990,"34, 161, 59","120, 114, 196"
ASHIMASYN,6,2,4,99037,"5, 4, 2, 17, 7, 6","3, 3, 8, 12, 3, 20"
ASHOKA,3,1,2,37224,"37, 125, 106","117, 91, 41"
ASHOKAMET,0,0,0,0,,
ASHOKLEY,6,2,4,81940,"21, 17, 9, 24, 15, 90","14, 9, 28, 14, 46, 64"
ASIANENE,0,0,0,0,,
ASIANHOTNR,2,0,2,-18882,"233, 112","171, 68"
ASIANPAINT,2,2,0,123713,"89, 971","276, 2978"
ASIANTILES,7,1,6,1760,"46, 14, 33, 129, 133, 124, 62","33, 43, 21, 76, 91, 92, 46"
ASKAUTOLTD,0,0,0,0,,
ASMS,4,2,2,121867,"88, 7, 1, 4","57, 4, 4, 15"
ASPINWALL,1,0,1,-14614,168,86
ASTEC,4,3,1,206645,"54, 25, 224, 409","38, 100, 700, 1291"
ASTERDM,1,1,0,63283,124,382
ASTRAL,2,2,0,125136,"3, 194","9, 596"
ASTRAMICRO,3,0,3,-30421,"126, 108, 99","91, 80, 52"
ASTRAZEN,2,1,1,58813,"836, 3908","2725, 2796"
ASTRON,2,0,2,-31018,"108, 40","54, 23"
ATALREAL,1,0,1,-13490,17,9
ATAM,0,0,0,0,,
ATFL,0,0,0,0,,
ATGL,1,1,0,65739,117,376
ATL,0,0,0,0,,
ATLANTAA,9,2,7,73596,"69, 71, 47, 40, 11, 40, 19, 9, 9","50, 53, 29, 28, 33, 29, 14, 6, 30"
ATUL,2,1,1,59344,"2390, 8887","8089, 6242"
ATULAUTO,2,1,1,56247,"340, 186","228, 591"
AUBANK,0,0,0,0,,
AURIONPRO,6,3,3,211125,"68, 72, 121, 129, 107, 46","247, 252, 84, 96, 74, 171"
AUROPHARMA,3,2,1,141450,"17, 58, 685","59, 196, 470"
AURUM,3,1,2,39125,"380, 228, 77","277, 693, 48"
AUSOMENT,4,2,2,135382,"9, 6, 22, 10","5, 18, 16, 40"
AUTOAXLES,7,3,4,154252,"538, 292, 97, 415, 261, 610, 564","378, 138, 304, 295, 834, 384, 1714"
AUTOIND,7,2,5,107299,"66, 153, 98, 72, 53, 51, 20","239, 111, 55, 53, 34, 34, 69"
AVADHSUGAR,2,1,1,62151,"180, 190","118, 643"
AVALON,0,0,0,0,,
AVANTIFEED,1,1,0,68173,187,616
AVG,1,1,0,66738,51,172
AVONMORE,0,0,0,0,,
AVROIND,2,1,1,56334,"15, 11","8, 37"
AVTNPL,1,1,0,62606,27,82
AWHCL,0,0,0,0,,
AWL,1,0,1,-7684,436,327
AXISBANK,1,1,0,68592,111,367
AXISCADES,5,3,2,244927,"13, 43, 158, 91, 51","69, 135, 97, 62, 168"
AXITA,0,0,0,0,,
AYMSYNTEX,3,1,2,44846,"93, 42, 24","60, 30, 75"
AZAD,0,0,0,0,,
BAFNAPH,2,1,1,52045,"11, 13","5, 42"
BAGFILMS,5,0,5,-38529,"16, 4, 6, 5, 2","11, 3, 5, 4, 2"
BAIDFIN,1,0,1,-9351,28,19
BAJAJ-AUTO,4,2,2,98209,"589, 294, 237, 1604","286, 161, 747, 4931"
BAJAJCON,1,1,0,64737,116,354
BAJAJELEC,5,2,3,121897,"84, 40, 215, 174, 343","52, 143, 140, 602, 253"
BAJAJFINSV,4,3,1,173234,"2355, 15, 188, 585","691, 47, 604, 1779"
BAJAJHCARE,1,0,1,-7437,391,292
BAJAJHIND,8,1,7,17815,"144, 62, 64, 35, 30, 21, 7, 6","87, 37, 46, 26, 21, 14, 5, 20"
BAJAJHLDNG,3,2,1,104903,"2355, 298, 2543","692, 979, 7675"
BAJEL,0,0,0,0,,
BAJFINANCE,2,1,1,65793,"43, 7","31, 23"
BALAJITELE,5,1,4,27491,"43, 46, 34, 57, 54","32, 33, 103, 38, 37"
BALAMINES,2,1,1,50770,"339, 332","235, 1002"
BALAXI,2,1,1,153362,"4, 3","3, 19"
BALKRISHNA,3,0,3,-37495,"47, 31, 20","30, 19, 8"
BALKRISIND,2,1,1,55119,"19, 996","58, 702"
BALMLAWRIE,3,1,2,49151,"40, 57, 152","23, 186, 113"
BALPHARMA,3,1,2,43576,"32, 16, 88","23, 50, 53"
BALRAMCHIN,5,2,3,116866,"60, 49, 60, 50, 76","44, 36, 42, 153, 279"
BANARBEADS,1,0,1,-8740,34,24
BANARISUG,2,1,1,55173,"755, 991","565, 3081"
BANCOINDIA,5,2,3,112839,"22, 75, 127, 133, 73","68, 49, 95, 98, 265"
BANDHANBNK,2,0,2,-15469,"550, 319","404, 239"
BANG,5,0,5,-60186,"122, 39, 11, 36, 21","76, 22, 6, 23, 12"
BANKA,2,1,1,74280,"37, 29","26, 105"
BANKBARODA,4,1,3,41779,"160, 144, 105, 51","115, 100, 76, 166"
BANKINDIA,5,1,4,28246,"311, 210, 101, 76, 49","232, 142, 72, 51, 155"
BANSWRAS,5,2,3,132076,"15, 41, 20, 41, 39","10, 29, 70, 29, 144"
BARBEQUE,1,0,1,-11359,1166,718
BASF,3,2,1,117427,"255, 210, 951","184, 668, 2876"
BASML,3,1,2,35803,"35, 13, 43","23, 39, 22"
BATAINDIA,3,2,1,124072,"91, 52, 401","66, 167, 1289"
BAYERCROP,2,1,1,49065,"916, 4543","2873, 3068"
BBL,3,0,3,-31693,"275, 678, 480","184, 446, 285"
BBOX,3,1,2,90678,"30, 19, 11","22, 13, 48"
BBTC,7,3,4,199866,"110, 27, 104, 498, 403, 1380, 1135","63, 90, 450, 330, 1287, 936, 732"
BBTCL,1,0,1,-8154,41,30
BCG,4,0,4,-42542,"14, 4, 31, 19","9, 3, 17, 14"
BCLIND,0,0,0,0,,
BCONCEPTS,2,1,1,76030,"35, 20","25, 74"
BDL,0,0,0,0,,
BEARDSELL,1,1,0,84048,8,29
BECTORFOOD,1,1,0,72039,315,1073
BEDMUTHA,3,1,2,41828,"14, 9, 28","10, 28, 17"
BEL,3,2,1,124106,"12, 31, 30","38, 23, 92"
BEML,5,1,4,20738,"427, 1079, 854, 634, 538","318, 796, 513, 380, 1621"
BEPL,4,0,4,-35518,"14, 15, 59, 49","9, 11, 43, 36"
BERGEPAINT,2,2,0,124654,"12, 68","36, 217"
BFINVEST,1,0,1,-8224,334,241
BFUTILITIE,4,1,3,54000,"1436, 440, 321, 180","924, 279, 221, 689"
BGRENERGY,6,1,5,12302,"179, 550, 369, 110, 63, 36","537, 397, 257, 80, 41, 21"
BHAGCHEM,0,0,0,0,,
BHAGERIA,1,0,1,-8223,137,102
BHAGYANGR,2,1,1,49900,"15, 10","10, 30"
BHANDARI,2,0,2,-20571,"1, 2","1, 1"
BHARATFORG,5,2,3,107362,"49, 165, 679, 446, 326","163, 115, 509, 235, 1070"
BHARATGEAR,4,3,1,190160,"28, 12, 24, 26","16, 42, 76, 80"
BHARATRAS,1,1,0,68900,115,382
BHARATWIRE,2,1,1,65480,"34, 23","25, 76"
BHARTIARTL,3,1,2,46289,"405, 340, 304","295, 252, 926"
BHEL,5,1,4,24225,"155, 168, 84, 57, 28","116, 117, 59, 31, 88"
BIGBLOC,1,0,1,-8424,6,5
BIKAJI,0,0,0,0,,
BIL,6,2,4,86431,"122, 25, 62, 182, 272, 187","87, 79, 41, 556, 202, 131"
BINANIIND,4,2,2,180479,"46, 110, 65, 6","203, 73, 45, 28"
BIOCON,1,1,0,67490,24,77
BIOFILCHEM,2,1,1,50851,"7, 8","5, 27"
BIRLACABLE,3,1,2,46964,"17, 52, 49","12, 32, 157"
BIRLACORPN,3,2,1,118264,"130, 777, 524","397, 567, 1642"
BIRLAMONEY,2,0,2,-17722,"20, 62","14, 43"
BKMINDST,2,2,0,188477,"5, 1","16, 3"
BLAL,0,0,0,0,,
