Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
20MICRONS,1,1,0,62559,62.56,30.200000762939453,91.5
21STCENMGM,3,0,3,-25380,-25.38,"22.649999618530273, 13.25, 29.399999618530273","15.050000190734863, 9.899999618530273, 21.0"
360ONE,0,0,0,0,0.0,,
3IINFOLTD,3,0,3,-34300,-34.3,"455.5, 88.0, 38.0","271.0, 64.5, 22.5"
3MINDIA,4,3,1,179066,179.07,"1028.0, 4107.2001953125, 3310.050048828125, 11957.5","3487.699951171875, 2984.300048828125, 10788.9501953125, 37309.1484375"
3PLAND,4,0,4,-44156,-44.16,"13.449999809265137, 9.949999809265137, 7.349999904632568, 7.150000095367432","9.0, 6.75, 4.550000190734863, 4.5"
5PAISA,1,1,0,70618,70.62,149.41050720214844,507.6499938964844
63MOONS,7,1,6,-22733,-22.73,"619.75, 273.3999938964844, 203.5500030517578, 116.30000305175781, 85.75, 79.75, 75.6500015258789","113.9000015258789, 174.5500030517578, 152.5500030517578, 73.0999984741211, 62.70000076293945, 46.04999923706055, 228.14999389648438"
A2ZINFRA,4,2,2,125851,125.85,"11.949999809265137, 13.699999809265137, 5.5, 4.849999904632568","41.20000076293945, 9.550000190734863, 4.0, 16.100000381469727"
AAATECH,0,0,0,0,0.0,,
AAKASH,1,1,0,84421,84.42,1.9466660022735596,7.284999847412109
AAREYDRUGS,0,0,0,0,0.0,,
AARON,1,1,0,97884,97.88,21.319046020507812,90.44999694824219
AARTECH,0,0,0,0,0.0,,
AARTIDRUGS,4,2,2,128452,128.45,"19.9375, 8.737500190734863, 12.46875, 132.3249969482422","13.53125, 6.525000095367432, 44.712501525878906, 435.0625"
AARTIIND,3,1,2,62501,62.5,"8.844989776611328, 13.48617935180664, 780.0999755859375","6.196352005004883, 49.2670783996582, 538.0"
AARTIPHARM,0,0,0,0,0.0,,
AARTISURF,1,0,1,-7866,-7.87,728.1845092773438,541.7000122070312
AARVEEDEN,3,1,2,40835,40.83,"76.1500015258789, 63.0, 16.649999618530273","54.150001525878906, 33.099998474121094, 54.0"
AARVI,2,1,1,55881,55.88,"34.150001525878906, 29.899999618530273","22.5, 95.3499984741211"
AAVAS,0,0,0,0,0.0,,
ABAN,7,1,6,711,0.71,"902.5, 632.0499877929688, 431.20001220703125, 310.5, 253.64999389648438, 175.0, 57.900001525878906","669.3499755859375, 380.0, 280.95001220703125, 212.5, 770.0499877929688, 112.30000305175781, 39.900001525878906"
ABB,3,2,1,121498,121.5,"440.4476318359375, 1187.84228515625, 941.1500244140625","1325.110595703125, 744.25, 3262.75"
ABBOTINDIA,0,0,0,0,0.0,,
ABCAPITAL,2,1,1,46175,46.17,"97.19999694824219, 63.29999923706055","42.150001525878906, 196.3000030517578"
ABFRL,0,0,0,0,0.0,,
ABMINTLLTD,2,2,0,207063,207.06,"21.25, 17.5","75.75, 86.625"
ABSLAMC,1,0,1,-9584,-9.58,460.0,311.20001220703125
ACC,2,0,2,-21533,-21.53,"850.8499755859375, 1413.5","525.5, 968.5"
ACCELYA,1,0,1,-11261,-11.26,60.54999923706055,38.04999923706055
ACCURACY,2,1,1,51552,51.55,"7.894999980926514, 1.850000023841858","3.049999952316284, 6.5"
ACE,6,3,3,161943,161.94,"45.79999923706055, 15.699999809265137, 46.849998474121094, 12.149999618530273, 114.5999984741211, 54.45000076293945","22.700000762939453, 50.099998474121094, 35.04999923706055, 39.099998474121094, 77.5999984741211, 169.5"
